Date,Medium,Avg. order value
6/3/2014,organic,347.54
6/4/2014,cpc,350.03
6/4/2014,organic,252.7
6/5/2014,cpc,271.65
6/5/2014,organic,216.8
6/6/2014,cpc,446.91
6/6/2014,organic,845.87
6/7/2014,cpc,254.93
6/7/2014,organic,365.7
6/8/2014,cpc,309.45
6/8/2014,organic,96.1
6/9/2014,cpc,269.86
6/9/2014,organic,198
6/10/2014,cpc,301.58
6/10/2014,organic,513.21
6/11/2014,cpc,352.93
6/11/2014,organic,501.15
6/12/2014,cpc,482.67
6/12/2014,organic,199.4
6/13/2014,cpc,263.68
6/13/2014,organic,442.38
6/14/2014,cpc,722.06
6/14/2014,organic,459.4
6/15/2014,cpc,173.38
6/15/2014,organic,297.12
6/16/2014,cpc,337.26
6/16/2014,organic,295.31
6/17/2014,cpc,247.32
6/17/2014,organic,1245.8
6/18/2014,cpc,658.68
6/18/2014,organic,298.28
6/19/2014,cpc,299.83
6/19/2014,organic,444.16
6/20/2014,cpc,286.33
6/20/2014,organic,164.64
6/21/2014,cpc,299.8
6/21/2014,organic,116.78
6/22/2014,cpc,181.52
6/22/2014,organic,176.61
6/23/2014,cpc,545.23
6/23/2014,organic,2007.96
6/24/2014,cpc,144.27
6/24/2014,organic,1689.75
6/25/2014,cpc,375.55
6/25/2014,organic,101.45
6/26/2014,cpc,312.66
6/26/2014,organic,253.27
6/27/2014,cpc,517.33
6/27/2014,organic,347
6/28/2014,cpc,462.03
6/28/2014,organic,206.03
6/29/2014,cpc,326.72
6/29/2014,organic,216.65
6/30/2014,cpc,202.58
6/30/2014,organic,332.81
7/1/2014,cpc,761.73
7/1/2014,organic,78.46
7/2/2014,cpc,316.06
7/2/2014,organic,282.46
7/3/2014,cpc,730.89
7/3/2014,organic,293.93
7/4/2014,cpc,232.54
7/4/2014,organic,1342.54
7/5/2014,cpc,258.61
7/5/2014,organic,282.37
7/6/2014,cpc,294.35
7/6/2014,organic,294.25
7/7/2014,cpc,262.33
7/7/2014,organic,190.38
7/8/2014,cpc,267.69
7/8/2014,organic,246.05
7/9/2014,cpc,383.93
7/9/2014,organic,292.15
7/10/2014,cpc,303.33
7/10/2014,organic,116.86
7/11/2014,cpc,366.69
7/11/2014,organic,129.93
7/12/2014,cpc,223.33
7/12/2014,organic,179.31
7/13/2014,cpc,258.69
7/13/2014,organic,486.66
7/14/2014,cpc,264.02
7/14/2014,organic,183.2
7/15/2014,cpc,283.86
7/15/2014,organic,1758.45
7/16/2014,cpc,279.16
7/16/2014,organic,210.28
7/17/2014,cpc,294.76
7/17/2014,organic,101.93
7/18/2014,cpc,140.52
7/18/2014,organic,230.73
7/19/2014,cpc,273.54
7/19/2014,organic,177.41
7/20/2014,cpc,286.57
7/20/2014,organic,143.32
7/21/2014,cpc,606.95
7/21/2014,organic,497.08
7/22/2014,cpc,251.78
7/22/2014,organic,306.87
7/23/2014,cpc,907.17
7/23/2014,organic,691.21
7/24/2014,cpc,241.32
7/24/2014,organic,3310.54
7/25/2014,cpc,274.43
7/25/2014,organic,556.37
7/26/2014,cpc,462.99
7/26/2014,organic,206.17
7/27/2014,cpc,262.04
7/27/2014,organic,331.46
7/28/2014,cpc,335.27
7/28/2014,organic,391.92
7/29/2014,cpc,386.98
7/29/2014,organic,166.75
7/30/2014,cpc,239.51
7/30/2014,organic,127.45
7/31/2014,cpc,666.54
7/31/2014,organic,161.53
8/1/2014,cpc,332.12
8/1/2014,organic,371.25
8/2/2014,cpc,299.93
8/2/2014,organic,74.03
8/3/2014,cpc,196.36
8/3/2014,organic,142.73
8/4/2014,cpc,350.49
8/4/2014,organic,218.87
8/5/2014,cpc,214.3
8/5/2014,organic,361.66
8/6/2014,cpc,684.09
8/6/2014,organic,186.51
8/7/2014,cpc,345.6
8/7/2014,organic,266.33
8/8/2014,cpc,157.22
8/8/2014,organic,179.62
8/9/2014,cpc,245.35
8/9/2014,organic,244.95
8/10/2014,cpc,426.29
8/10/2014,organic,160.26
8/11/2014,cpc,233.79
8/11/2014,organic,300.31
8/12/2014,cpc,597.22
8/12/2014,organic,144.26
8/13/2014,cpc,394.61
8/13/2014,organic,528.13
8/14/2014,cpc,382.3
8/14/2014,organic,309.08
8/15/2014,cpc,731.33
8/15/2014,organic,296.84
8/16/2014,cpc,203.94
8/16/2014,organic,411.24
8/17/2014,cpc,436.8
8/17/2014,organic,372.2
8/18/2014,cpc,119.83
8/18/2014,organic,328.39
8/19/2014,cpc,370.48
8/19/2014,organic,333.91
8/20/2014,cpc,305.73
8/20/2014,organic,352.38
8/21/2014,cpc,278.79
8/21/2014,organic,1184.9
8/22/2014,cpc,159.78
8/22/2014,organic,929.44
8/23/2014,cpc,238.33
8/23/2014,organic,548.07
8/24/2014,cpc,294.01
8/24/2014,organic,547.21
8/25/2014,cpc,227.53
8/25/2014,organic,227.48
8/26/2014,cpc,1632.83
8/26/2014,organic,821.18
8/27/2014,cpc,302.46
8/27/2014,organic,574.74
8/28/2014,cpc,547.46
8/28/2014,organic,586.52
8/29/2014,cpc,479.11
8/29/2014,organic,342.88
8/30/2014,cpc,173.54
8/30/2014,organic,25.94
8/31/2014,cpc,315.5
8/31/2014,organic,400.68
9/1/2014,cpc,293.36
9/1/2014,organic,769.43
9/2/2014,cpc,369.08
9/2/2014,organic,372.19
9/3/2014,cpc,337.17
9/3/2014,organic,1021.17
9/4/2014,cpc,202.3
9/4/2014,organic,200.98
9/5/2014,cpc,334.84
9/5/2014,organic,138.47
9/6/2014,cpc,232.03
9/6/2014,organic,410.44
9/7/2014,cpc,305.11
9/7/2014,organic,225.36
9/8/2014,cpc,214.15
9/8/2014,organic,565.28
9/9/2014,cpc,1909.48
9/9/2014,organic,338.72
9/10/2014,cpc,234.46
9/10/2014,organic,148.21
9/11/2014,cpc,229.28
9/11/2014,organic,335.76
9/12/2014,cpc,241.44
9/12/2014,organic,474.04
9/13/2014,cpc,177.69
9/13/2014,organic,583.5
9/14/2014,cpc,308.83
9/14/2014,organic,327.26
9/15/2014,cpc,879.89
9/15/2014,organic,351.92
9/16/2014,cpc,221.03
9/16/2014,organic,1343.96
9/17/2014,cpc,250.05
9/17/2014,organic,392.52
9/18/2014,cpc,289.24
9/18/2014,organic,160.83
9/19/2014,cpc,314.17
9/19/2014,organic,239.05
9/20/2014,cpc,409.99
9/20/2014,organic,309.81
9/21/2014,cpc,194.05
9/21/2014,organic,435.65
9/22/2014,cpc,270.56
9/22/2014,organic,83.18
9/23/2014,cpc,457.23
9/23/2014,organic,558.39
9/24/2014,cpc,436.01
9/24/2014,organic,528.8
9/25/2014,cpc,211.89
9/25/2014,organic,270.66
9/26/2014,cpc,213.57
9/26/2014,organic,233.64
9/27/2014,cpc,117.01
9/27/2014,organic,160.15
9/28/2014,cpc,188.19
9/28/2014,organic,242.39
9/29/2014,cpc,482.83
9/29/2014,organic,1352.33
9/30/2014,cpc,840.76
9/30/2014,organic,280.58
10/1/2014,cpc,256.75
10/1/2014,organic,430.09
10/2/2014,cpc,710.17
10/2/2014,organic,368.24
10/3/2014,cpc,207.89
10/3/2014,organic,445.86
10/4/2014,cpc,706.67
10/4/2014,organic,74.12
10/5/2014,cpc,279.76
10/5/2014,organic,334.1
10/6/2014,cpc,280.43
10/6/2014,organic,428.14
10/7/2014,cpc,257.13
10/7/2014,organic,649.16
10/8/2014,cpc,200.03
10/8/2014,organic,537
10/9/2014,cpc,212.64
10/9/2014,organic,187.63
10/10/2014,cpc,327.82
10/10/2014,organic,167.17
10/11/2014,cpc,482.29
10/11/2014,organic,994.11
10/12/2014,cpc,124.59
10/12/2014,organic,92.5
10/13/2014,cpc,673.57
10/13/2014,organic,457.01
10/14/2014,cpc,141.89
10/14/2014,organic,637.01
10/15/2014,cpc,214
10/15/2014,organic,164.9
10/16/2014,cpc,525.86
10/16/2014,organic,538.48
10/17/2014,cpc,592.44
10/17/2014,organic,1178.14
10/18/2014,cpc,134.58
10/18/2014,organic,
10/19/2014,cpc,415.67
10/19/2014,organic,690.44
10/20/2014,cpc,198.93
10/20/2014,organic,1487.48
10/21/2014,cpc,148.59
10/21/2014,organic,229.06
10/22/2014,cpc,546.66
10/22/2014,organic,472.47
10/23/2014,cpc,72.47
10/23/2014,organic,23.94
10/24/2014,cpc,186.94
10/24/2014,organic,33.99
10/25/2014,cpc,186.66
10/25/2014,organic,318.67
10/26/2014,cpc,649.21
10/26/2014,organic,329.54
10/27/2014,cpc,202.81
10/27/2014,organic,298.57
10/28/2014,cpc,216.25
10/28/2014,organic,89.89
10/29/2014,cpc,406.89
10/29/2014,organic,404.98
10/30/2014,cpc,150.92
10/30/2014,organic,233.94
10/31/2014,cpc,189.4
10/31/2014,organic,671.47
11/1/2014,cpc,293.72
11/1/2014,organic,678.29
11/2/2014,cpc,194.52
11/2/2014,organic,373.22
11/3/2014,cpc,538.88
11/3/2014,organic,256.88
11/4/2014,cpc,221.22
11/4/2014,organic,1027.5
11/5/2014,cpc,210.84
11/5/2014,organic,315.84
11/6/2014,cpc,450.15
11/6/2014,organic,266.91
11/7/2014,cpc,312.01
11/7/2014,organic,316.3
11/8/2014,cpc,338.7
11/8/2014,organic,231.09
11/9/2014,cpc,479.79
11/9/2014,organic,167.86
